pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
Schindler's List,1994-03-04,Cines,3h 15min,Drama,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Hebreo
Schindler's List,1994-03-04,Cines,3h 15min,Histórico,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Inglés
Schindler's List,1994-03-04,Cines,3h 15min,Histórico,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Alemán
Schindler's List,1994-03-04,Cines,3h 15min,Histórico,Steven Spielberg,4.5,4.6,3.0, EE.UU., Universal Pictures International Spain ,1993-01-01,25000000,Hebreo
The Godfather: Part II,1975-10-13,Cines,3h 20min,Crimen,Francis Ford Coppola,3.9,4.6,, EE.UU.,,1974-01-01,13000000,Inglés
The Godfather: Part II,1975-10-13,Cines,3h 20min,Drama,Francis Ford Coppola,3.9,4.6,, EE.UU.,,1974-01-01,13000000,Inglés
The Shawshank Redemption,1995-02-24,Cines,2h 22min,Drama,Frank Darabont,4.3,4.6,4.0, EE.UU., Filmayer ,1994-01-01,25000000,Inglés
La vita e bella,1999-02-26,Cines,1h 57min,Comedia,Roberto Benigni,4.2,4.6,2.5, Italia, Lauren Film ,1998-01-01,0,Inglés
La vita e bella,1999-02-26,Cines,1h 57min,Comedia dramática,Roberto Benigni,4.2,4.6,2.5, Italia, Lauren Film ,1998-01-01,0,Inglés
La vita e bella,1999-02-26,Cines,1h 57min,Drama,Roberto Benigni,4.2,4.6,2.5, Italia, Lauren Film ,1998-01-01,0,Inglés
Forrest Gump,1994-09-23,Cines,2h 20min,Comedia,Robert Zemeckis,4.1,4.6,3.5, EE.UU., Paramount Pictures Spain ,1994-01-01,55000000,Inglés
Forrest Gump,1994-09-23,Cines,2h 20min,Drama,Robert Zemeckis,4.1,4.6,3.5, EE.UU., Paramount Pictures Spain ,1994-01-01,55000000,Inglés
Forrest Gump,1994-09-23,Cines,2h 20min,Romántico,Robert Zemeckis,4.1,4.6,3.5, EE.UU., Paramount Pictures Spain ,1994-01-01,55000000,Inglés
Gladiator,2000-05-17,Cines,2h 35min,Acción,Ridley Scott,3.9,4.6,2.0, EE.UU., Universal Pictures International Spain ,2000-01-01,103000000,Inglés
Gladiator,2000-05-17,Cines,2h 35min,Aventura,Ridley Scott,3.9,4.6,2.0, EE.UU., Universal Pictures International Spain ,2000-01-01,103000000,Inglés
Gladiator,2000-05-17,Cines,2h 35min,Histórico,Ridley Scott,3.9,4.6,2.0, EE.UU., Universal Pictures International Spain ,2000-01-01,103000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Aventura,Roger Allers,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Aventura,Rob Minkoff,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Animación,Roger Allers,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Animación,Rob Minkoff,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Familia,Roger Allers,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Familia,Rob Minkoff,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Comedia musical,Roger Allers,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Lion King,1994-11-11,Cines,1h 29min,Comedia musical,Rob Minkoff,4.5,4.6,2.0, EE.UU., Walt Disney Studios Motion Picture Spain ,1994-01-01,45000000,Inglés
The Dark Knight,2008-08-13,Cines,2h 32min,Acción,Christopher Nolan,5.0,4.6,3.5, EE.UU., Warner Bros Pictures España ,2008-01-01,180000000,Inglés
The Dark Knight,2008-08-13,Cines,2h 32min,Suspense,Christopher Nolan,5.0,4.6,3.5, EE.UU., Warner Bros Pictures España ,2008-01-01,180000000,Inglés
Pulp Fiction,1995-01-13,Cines,2h 29min,Crimen,Quentin Tarantino,4.6,4.5,4.5, EE.UU., 39 Escalones ,1994-01-01,8000000,Inglés
Pulp Fiction,1995-01-13,Cines,2h 29min,Drama,Quentin Tarantino,4.6,4.5,4.5, EE.UU., 39 Escalones ,1994-01-01,8000000,Inglés
The Lord of the Rings: The Fellowship of the Ring,2001-12-21,Cines,2h 58min,Aventura,Peter Jackson,4.6,4.5,4.0, EE.UU., Warner Bros Pictures España ,2001-01-01,90000000,Inglés
The Lord of the Rings: The Fellowship of the Ring,2001-12-21,Cines,2h 58min,Fantasía,Peter Jackson,4.6,4.5,4.0, EE.UU., Warner Bros Pictures España ,2001-01-01,90000000,Inglés
The Pianist,2002-12-13,Cines,2h 28min,Drama,Roman Polanski,4.6,4.5,3.5, Francia, DeaPlaneta ,2002-01-01,35000000,Inglés
The Pianist,2002-12-13,Cines,2h 28min,Histórico,Roman Polanski,4.6,4.5,3.5, Francia, DeaPlaneta ,2002-01-01,35000000,Inglés
Goodfellas,1990-10-19,Cines,2h 25min,Crimen,Martin Scorsese,5.0,4.5,5.0, EE.UU., Warner Bros Pictures España ,1990-01-01,25000000,Inglés
Goodfellas,1990-10-19,Cines,2h 25min,Drama,Martin Scorsese,5.0,4.5,5.0, EE.UU., Warner Bros Pictures España ,1990-01-01,25000000,Inglés
The Lord of the Rings: The Return of the King,2003-12-17,Cines,3h 21min,Aventura,Peter Jackson,4.6,4.5,3.5, EE.UU., Warner Bros Pictures España ,2003-01-01,94000000,Inglés
The Lord of the Rings: The Return of the King,2003-12-17,Cines,3h 21min,Fantasía,Peter Jackson,4.6,4.5,3.5, EE.UU., Warner Bros Pictures España ,2003-01-01,94000000,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Acción,Joe Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Acción,Anthony Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Aventura,Joe Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Aventura,Anthony Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Ciencia ficción,Joe Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Avengers: Infinity War,2018-04-27,Cines,2h 36min,Ciencia ficción,Anthony Russo,3.7,4.5,3.5, EE.UU., Walt Disney Studios Motion Picture Spain ,2018-01-01,0,Inglés
Intouchables,2012-03-09,Cines,1h 52min,Biopic,Eric Toledano,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
Intouchables,2012-03-09,Cines,1h 52min,Biopic,Olivier Nakache,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
Intouchables,2012-03-09,Cines,1h 52min,Comedia,Eric Toledano,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
Intouchables,2012-03-09,Cines,1h 52min,Comedia,Olivier Nakache,2.5,4.5,2.0, Francia, A Contracorriente Films ,2011-01-01,9500000,Inglés
